inchi_key,canonical_smiles,name,vivo_dilirank,vivo_livertox,vivo_dailymed,vivo_pubmed,vivo_ctd,vivo_faers,vivo_chembl,vivo_marketed_clean_neg,has_dilirank,has_livertox,has_dm_boxed
QWCJHSGMANYXCW-UHFFFAOYSA-N,Nc1ccc(S(=O)(=O)Nc2ccnn2-c2ccccc2)cc1,SULFAPHENAZOLE,unknown,,,,medium,,,1.0,False,False,False
ZOKXTWBITQBERF-UHFFFAOYSA-N,[Mo],Molybdenum,unknown,,,,medium,,,1.0,False,False,False
JWBOIMRXGHLCPP-UHFFFAOYSA-N,Clc1ccc(C(c2ccccc2Cl)C(Cl)Cl)cc1,MITOTANE,vNo-DILI-Concern,E,,,strong,,,1.0,True,True,False
SWXOGPJRIDTIRL-DOUNNPEJSA-N,CC(C)[C@@H]1NC(=O)[C@H](CCCCN)NC(=O)[C@@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H](NC(=O)[C@H](N)Cc2ccccc2)CSSC[C@@H](C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(N)=O)NC1=O,Vapreotide,unknown,,,,,,1.0,1.0,False,False,False
QFFCYTLOTYIJMR-XMGTWHOFSA-N,CCC(=O)[C@@]1(C)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3CC[C@@]21C,promegestone,unknown,,,,,,1.0,1.0,False,False,False
OVBPIULPVIDEAO-UHFFFAOYSA-N,Nc1nc2ncc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)nc2c(=O)[nH]1,Folic acid,vNo-DILI-Concern,E,,medium,strong,strong,,,True,True,False
IQFYYKKMVGJFEH-UHFFFAOYSA-N,Cc1cn(C2CC(O)C(CO)O2)c(=O)[nH]c1=O,Telbivudine,Ambiguous-DILI-Concern,E,,,medium,,,,False,True,False
UFBJCMHMOXMLKC-UHFFFAOYSA-N,O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,"2,4-Dinitrophenol",unknown,,,,strong,,1.0,1.0,False,False,False
CXMXRPHRNRROMY-UHFFFAOYSA-N,O=C(O)CCCCCCCCC(=O)O,Sebacic Acid,unknown,,,,weak,,,1.0,False,False,False
QZIQORUGXBPDSU-UHFFFAOYSA-N,C[N+](C)([O-])CCCN1c2ccccc2CCc2ccccc21,imipramine oxide,unknown,,,,weak,,,1.0,False,False,False
OUGIDAPQYNCXRA-UHFFFAOYSA-N,O=c1cc(-c2ccccc2)oc2ccc3ccccc3c12,Beta-Naphthoflavone,unknown,,,,strong,,,1.0,False,False,False
