name,input,inchi_key,found,label,verdict,match,confidence,n_sources,conflict,db_name
,N=C(NS(=O)(N)=O)CCSCC1=CSC(NC(N)=N)=N1,XUFQPHANEAPEMJ-UHFFFAOYSA-N,True,1,간독성 있음 ⚠,exact,high,5,True,Famotidine
,O=S(C1=CC=C(Br)C=C1)(/N=C/NCCSCC2=CSC(NC(N)=N)=N2)=O,ZQHFZHPUZXNPMF-UHFFFAOYSA-N,True,1,간독성 있음 ⚠,exact,high,3,False,Ebrotidine
,FC1=C(N=C(N2CCN(C3=CC=CC(OC)=C3)CC2)N(C4=CC(C(F)(F)F)=CC=C4OC)[C@H]5CC(O)=O)C5=CC=C1,FWYSMLBETOMXAG-QHCPKHFHSA-N,True,1,간독성 있음 ⚠,skeleton,low,2,False,Letermovir
,O=C1C2=C(O)C=C(O)C3=C2C4=C(C5=C6C(O)=CC(C)=C5C7=C4C1=C(O)C=C7C)C8=C3C(O)=CC(O)=C8C6=O,BTXNYTINYBABQR-UHFFFAOYSA-N,False,,not_in_db,,,,,
,CN1C(C#N)=C2C(CN(C)C(C3=C([C@@H](C)OC4=C(N)N=CC2=C4)C=C(F)C=C3)=O)=N1,IIXWYSCJSQVBQM-LLVKDONJSA-N,True,,vivo 라벨없음,exact,ambiguous,0,False,LORLATINIB
,O=P(O[Na])(O[Na])C(O[Na])=O,ZJAOAACCNHFJAH-UHFFFAOYSA-N,True,,vivo 라벨없음,exact,ambiguous,0,False,FOSCARNET
,C[N@+]12CC[C@H]([C@]1(C(=CC2)CO)O)O,MHCDHCVYFDHGEB-UTLUCORTSA-N,False,,not_in_db,,,,,
,O=C1C2=C(N=C(/C=C/C3=CC(OC)=C(OC)C=C3)N2C)N(CC)C(N1CC)=O,IQVRBWUUXZMOPW-PKNBQFBNSA-N,True,0,간독성 없음,exact,high,2,False,ISTRADEFYLLINE
,CC(=O)CC1CCCCN1,JEIZLWNUBXHADF-UHFFFAOYSA-N,False,,not_in_db,,,,,
,C[C@H]1CCC[C@]2(C1=C[C@H]3[C@@H](C2)OC(=O)C3=C)C,PXOYOCNNSUAQNS-AGNJHWRGSA-N,False,,not_in_db,,,,,
,COC1=CC=CC2=C3C(=C(C=C21)[N+](=O)[O-])C(=CC4=C3OCO4)C(=O)O,BBFQZRXNYIEMAW-UHFFFAOYSA-N,True,1,간독성 있음 ⚠,exact,med,1,False,aristolochic acid I
,SC1=NC(N)=NC2=C1N=CN2,WYWHKKSPHMUBEB-UHFFFAOYSA-N,True,1,간독성 있음 ⚠,exact,high,4,False,Thioguanine
,OC1=CC=CC(OCC2=C(C3=CC=NN3C(C)C)N=CC=C2)=C1C=O,FWCVZAQENIZVMY-UHFFFAOYSA-N,True,0,간독성 없음,exact,high,2,False,Voxelotor
,O=C1N(C2=CC=CC=C2C)/C(S/C1=C\C3=CC=C(OC[C@H](O)CO)C(Cl)=C3)=N/CCC,LPAUOXUZGSBGDU-STDDISTJSA-N,True,,vivo 라벨없음,exact,ambiguous,0,False,PONESIMOD
,CC1=[N+]([O-])C(Cl)=C(C2=NOC(C3=CC([N+]([O-])=O)=C(O)C(O)=C3)=N2)C(C)=C1Cl,ASOADIZOVZTJSR-UHFFFAOYSA-N,True,0,간독성 없음,exact,high,3,False,OPICAPONE
,OCC(S)CS,WQABCVAJNWAXTE-UHFFFAOYSA-N,True,0,간독성 없음,exact,low,4,False,Dimercaprol
,NC1=NC(N2CCCCC2)=CC(N)=[N+]1[O-],ZFMITUMMTDLWHR-UHFFFAOYSA-N,True,0,간독성 없음,exact,med,2,False,MINOXIDIL
