inchi_key,canonical_smiles,name,manual_label,source,reason
INRQTVDUZFESAO-UHFFFAOYSA-N,CS(=O)(=O)c1ccc(C2=C(c3ccc(F)c(F)c3)C(=O)OC2)cc1,"3-(3,4-difluorophenyl)-4-(4-(methylsulfonyl)phenyl)-2(5H)-furanone",,non_drug,IUPAC chemistry name
YECLJVFSJHLBMZ-UHFFFAOYSA-N,CCCCCCCCCCCCCC(=O)OC1C(C)C2(O)C(C=C(CO)CC3(O)C(O)C(C)=CC32)C2C(C)(C)C12OC(C)=O,phorbolol myristate acetate,,non_drug,industrial/lab/non-drug chemical
KWTSZCJMWHGPOS-UHFFFAOYSA-M,C[Sn](C)(C)Cl,trimethyltin chloride,,non_drug,industrial/lab/non-drug chemical
BYSGBSNPRWKUQH-UHFFFAOYSA-N,OCC1OC(OCC2OC(OC3C(CO)OC(O)C(O)C3O)C(O)C(O)C2OC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O,Glycogen,,non_drug,industrial/lab/non-drug chemical
KBAFPSLPKGSANY-VXKWHMMOSA-N,CCN(CC)CCOC(=O)[C@@H](Cc1cccc2ccccc12)C[C@@H]1CCCO1,CHEMBL1443491,,non_drug,ChEMBL ID only
XKMLYUALXHKNFT-UHFFFAOYSA-N,Nc1nc2c(ncn2C2OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C2O)c(=O)[nH]1,Guanosine Triphosphate,,non_drug,industrial/lab/non-drug chemical
XFZJEEAOWLFHDH-UHFFFAOYSA-N,Oc1cc(O)c2c(c1)OC(c1ccc(O)c(O)c1)C(O)C2c1c(O)cc(O)c2c1OC(c1ccc(O)c(O)c1)C(O)C2,procyanidin B1,,non_drug,industrial/lab/non-drug chemical
VBTQNRFWXBXZQR-UHFFFAOYSA-N,CC(=O)NBr,N-bromoacetamide,,non_drug,industrial/lab/non-drug chemical
UMUPQWIGCOZEOY-JOCHJYFZSA-N,CC(C)(N)C(=O)N[C@H](COCc1ccccc1)C(=O)N1CCC2(CC1)CN(S(C)(=O)=O)c1ccccc12,CHEMBL13817,,non_drug,ChEMBL ID only
GODLCSLPZIBRMG-UHFFFAOYSA-N,COc1cc(C)c(C(=O)Oc2cc(C)c(C(=O)O)c(O)c2)c(O)c1,CHEMBL1484978,,non_drug,ChEMBL ID only
VDIFKDMFGPIVCQ-UHFFFAOYSA-N,CC(C)(C)c1ccccc1OP(=O)(Oc1ccccc1)Oc1ccccc1,tert-butylphenyl diphenyl phosphate,,non_drug,industrial/lab/non-drug chemical
MTKNDAQYHASLID-QXYWQCSFSA-N,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O[C@@H]1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]1O,CHEMBL1697724,,non_drug,ChEMBL ID only
YSKVBPGQYRAUQO-UHFFFAOYSA-N,CCC(CCC(C)C1CCC2C3=CCC4CC(O)CCC4(C)C3CCC21C)C(C)C,stigmast-7-enol,,non_drug,industrial/lab/non-drug chemical
SNKFFCBZYFGCQN-UHFFFAOYSA-N,O=C(C=Cc1ccc(O)c2c1C(C(=O)OC(Cc1ccc(O)c(O)c1)C(=O)O)C(c1ccc(O)c(O)c1)O2)OC(Cc1ccc(O)c(O)c1)C(=O)O,lithospermate B,,non_drug,industrial/lab/non-drug chemical
NXFQHRVNIOXGAQ-YCRREMRBSA-N,O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)N1,CHEMBL572,,non_drug,ChEMBL ID only
WBSMIPAMAXNXFS-UHFFFAOYSA-N,O=C(O)c1cc([N+](=O)[O-])ccc1NCCCc1ccccc1,5-nitro-2-(3-phenylpropylamino)benzoic acid,,non_drug,IUPAC chemistry name
OJMIONKXNSYLSR-UHFFFAOYSA-N,OP(O)O,Organophosphonates,,non_drug,industrial/lab/non-drug chemical
VPAPPHOZFDSBAJ-UHFFFAOYSA-N,Cn1c(=O)c2c(nc3n2CCCN3Cc2ccccc2Br)n(C)c1=O,CHEMBL4535750,,non_drug,ChEMBL ID only
OTLNLRCPPGPFDK-VBKFSLOCSA-N,C/C(O)=C(\C#N)C(=O)Nc1cc(OC(C)C)c(-c2cccc(C(F)(F)F)c2)cc1F,CHEMBL5169436,,non_drug,ChEMBL ID only
DDTDNCYHLGRFBM-YZEKDTGTSA-N,CC(=O)N[C@@H]1[C@H](Oc2c3cc4cc2Oc2ccc(cc2Cl)[C@@H](O[C@@H]2O[C@@H](CO)[C@@H](O)[C@H](O)[C@@H]2NC(C)=O)[C@@H]2NC(=O)[C@H](NC(=O)[C@@H]4NC(=O)[C@H]4NC(=O)[C@@H](Cc5ccc(c(Cl)c5)O3)NC(=O)[C@H](N)c3ccc(O)c(c3)Oc3cc(O)cc4c3)c3ccc(O)c(c3)-c3c(O[C@H]4O[C@H](CO)[C@@H](O)[C@@H](O)[C@@H]4O)cc(O)cc3[C@@H](C(=O)O)NC2=O)O[C@@H](CO)[C@@H](O)[C@@H]1O,CHEMBL2367892,,non_drug,ChEMBL ID only
SMPNJFHAPJOHPP-UHFFFAOYSA-N,Nc1ncnc2c1ncn2C1OC2COP(O)(=S)OC2C1O,"adenosine-3',5'-cyclic phosphorothioate",,non_drug,industrial/lab/non-drug chemical
LKQSEFCGKYFESN-UHFFFAOYSA-N,Cc1ccccc1OP1(=O)OCc2ccccc2O1,2-(2-cresyl)-4H-1-3-2-benzodioxaphosphorin-2-oxide,,non_drug,IUPAC chemistry name
RJYQLMILDVERHH-UHFFFAOYSA-N,CC(O)CCC(=O)c1ccoc1,CHEMBL1743358,,non_drug,ChEMBL ID only
JCSREICEMHWFAY-HUUCEWRRSA-N,CCCN1CCO[C@@H]2c3cc(O)ccc3CC[C@H]21,CHEMBL69271,,non_drug,ChEMBL ID only
FOIVPCKZDPCJJY-UHFFFAOYSA-N,CC(=Cc1ccc(C(=O)O)cc1)c1ccc2c(c1)C(C)(C)CCC2(C)C,"4-(2-(5,6,7,8-tetrahydro-5,5,8,8-tetramethyl-2-naphthalenyl)-1-propenyl)benzoic acid",,non_drug,IUPAC chemistry name
