inchi_key,canonical_smiles,name,vivo_dilirank,vivo_livertox,vivo_dailymed,vivo_pubmed,vivo_ctd,vivo_chembl,vivo_faers
OXWHZARNAGLRFL-UHFFFAOYSA-N,O=C1C=Cc2ccc3c4c(ccc1c24)-c1ccccc1C3=O,"benzo(a)pyrene-1,6-quinone",,,,,weak,,
JEKMKNDURXDJAD-UHFFFAOYSA-N,CC12C=Cc3occc3C1CCC13CC(CCC12)C(O)(CO)C3,kahweol,,,,,medium,,
JZVYPSLDMXOITF-UHFFFAOYSA-N,CCCC(=O)OC1C(C)OC(OC2C(C)OC(OC3C(CC=O)CC(C)C(O)C=CC=CCC(C)OC(=O)CC(O)C3OC)C(O)C2N(C)C)CC1(C)O,Leucomycins,,,,medium,,,
YCXRBCHEOFVYEN-UHFFFAOYSA-N,COc1ccc(-c2cc(=O)c3c(O)cc(O)c(-c4cc(-c5cc(=O)c6c(O)cc(OC)cc6o5)ccc4OC)c3o2)cc1,sciadopitysin,,,,,medium,,
QERYCTSHXKAMIS-UHFFFAOYSA-N,O=C(O)c1cccs1,CHEMBL1222314,,,,,,1.0,
ZRJBHWIHUMBLCN-UHFFFAOYSA-N,CC=C1C2C=C(C)CC1(N)c1ccc(=O)[nH]c1C2,huperzine A,,,,,medium,,
PRQROPMIIGLWRP-UHFFFAOYSA-N,CSCCC(NC=O)C(=O)NC(CC(C)C)C(=O)NC(Cc1ccccc1)C(=O)O,N-Formylmethionine Leucyl-Phenylalanine,,,,,medium,,
GBMUQLAGEWYKTJ-UHFFFAOYSA-N,Cc1cc2c(cc1-n1c(C(F)(F)F)nc3cc(C(=O)O)ccc31)C(C)(C)CCC2(C)C,CHEMBL2332887,,,,,,1.0,
IMKHDCBNRDRUEB-UHFFFAOYSA-N,CC1(C)CCCC2(C)OC(=O)C=C12,dihydroactinidiolide,,,,,medium,,
HGHOPAZIUPORIN-UHFFFAOYSA-N,CC(C)=CCc1c2c(c(O)c3c(=O)c(-c4ccc(O)cc4)coc13)C=CC(C)(C)O2,warangalone,,,,,medium,,
FDABVSXGAMFQQH-UHFFFAOYSA-N,COc1cc2c(cc1O)C(Cc1ccc(Oc3cc(CC4c5cc(O)c(OC)cc5CCN4C)ccc3O)cc1)N(C)CC2,magnolin,,,,,medium,,
BOWVQLFMWHZBEF-UHFFFAOYSA-N,CCCCCCCCC=CCCCCCCCC(=O)NCCO,N-oleoylethanolamine,,,,,weak,,
XDXWLKQMMKQXPV-QYQHSDTDSA-N,CC1=NN(c2ccc(C)c(C)c2)C(=O)/C1=N\Nc1cccc(-c2cccc(C(=O)O)c2)c1O,ELTROMBOPAG,unknown,,,,,1.0,
ZXJJBDHPUHUUHD-UHFFFAOYSA-N,COc1ccc(-c2cc(=O)c3c(OC)cc(OC)cc3o2)cc1,"5,7,4'-trimethylapigenin",,,,,weak,,
CXAGHAZMQSCAKJ-WAHHBDPQSA-N,CCO[C@@H]1OC(=O)C[C@@H]1NC(=O)[C@@H]1CCCN2C(=O)CC[C@H](NC(=O)c3nccc4ccccc34)C(=O)N12,CHEMBL437526,,,,,,1.0,
UJCACMLMPLLRGW-UHFFFAOYSA-N,Cc1c(S(=O)(=O)O)oc2c1C(=O)C(=O)c1c-2ccc2c1CCCC2(C)C,tanshinone II A sodium sulfonate,,,,,weak,,
DFMMVLFMMAQXHZ-UHFFFAOYSA-N,CC(C=O)=CC=CC(C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)CCCC1(C)C,apocarotenal,,,,,medium,,
CQIKWXUXPNUNDV-UHFFFAOYSA-N,C=Cc1c(C)c2cc3nc(c4c5[nH]c(cc6nc(cc1[nH]2)C(C)=C6CC)c(C)c5C(=O)C4C(=O)OC)C(CCC(=O)OCC=C(C)CCCC(C)CCCC(C)CCCC(C)C)C3C,Chlorophyll A,,,,,weak,,
HBNBMOGARBJBHS-UHFFFAOYSA-N,C[AsH]C,dimethylarsine,,,,,medium,,
GQEXVCVGAOTIEA-UHFFFAOYSA-N,CC(NCCCNc1ccnc2cc(Cl)ccc12)c1ccc(-c2csc3ccc(F)cc23)cc1,CHEMBL4447772,,,,,,1.0,
ATEFPOUAMCWAQS-UHFFFAOYSA-N,O=c1ccc2ccc(O)c(O)c2o1,daphnetin,,,,,medium,,
MRIAQLRQZPPODS-UHFFFAOYSA-N,COc1ccc(-c2cc(=O)c3c(OC)c(OC)c(OC)c(OC)c3o2)cc1OC,nobiletin,,,,,medium,,
